model_name,country,native_language,cultural_region,is_islamic,language_family,model_origin,d_english,d_native,d_diff,english_advantage_pct,ea_winsorized,log_ratio,internet_collectivity_index,colonial_power,colonial_history,gdp_per_capita,HDI,has_colonial_history,colony_CN,colony_ES,colony_FR,colony_IT,colony_JP,colony_PT,colony_RU,colony_UK,freedom_on_net
claude-3-7-sonnet-20250219,Algeria,ar,African-Islamic,True,Semitic,US,1.0183758573475377,0.956710285514905,-0.06166557183263266,-6.445584704824619,-6.445584704824619,0.06246372684744278,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
claude-sonnet-4.5,Algeria,ar,African-Islamic,True,Semitic,US,1.2390525429391555,1.4489166235821767,0.2098640806430212,14.484206836151229,14.484206836151229,-0.15646911173650732,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
deepseek-chat,Algeria,ar,African-Islamic,True,Semitic,China,1.2101135295590397,1.706618005676136,0.49650447611709625,29.092888652630194,29.092888652630194,-0.34379945638857506,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
deepseek-chat-v3.1,Algeria,ar,African-Islamic,True,Semitic,China,1.4489166235821767,1.706618005676136,0.2577013820939593,15.100120896231958,15.100120896231958,-0.16369751665569007,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
doubao-1-5-pro-32k-250115,Algeria,ar,African-Islamic,True,Semitic,China,1.7194083171490193,1.9487538295109352,0.22934551236191592,11.768829335384712,11.768829335384712,-0.1252098765136952,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gemini-2.5-flash,Algeria,ar,African-Islamic,True,Semitic,US,1.706618005676136,1.4489166235821767,-0.2577013820939593,-17.78579787819955,-17.78579787819955,0.16369751665568996,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gemini-2.5-pro,Algeria,ar,African-Islamic,True,Semitic,US,1.9903744090602253,1.4489166235821767,-0.5414577854780487,-37.36983734366958,-37.36983734366958,0.31750664527370237,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gemini-3-pro-preview,Algeria,ar,African-Islamic,True,Semitic,US,1.4489166235821767,1.706618005676136,0.2577013820939593,15.100120896231958,15.100120896231958,-0.16369751665569007,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gemma-3-4b-it,Algeria,ar,African-Islamic,True,Semitic,US,2.389715287786714,2.392322607781737,0.002607319995023172,0.10898697301702089,0.10898697301702089,-0.0010904640700592067,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gpt-4o,Algeria,ar,African-Islamic,True,Semitic,US,1.0004394944760937,0.6161113418993921,-0.3843281525767016,-62.37965874672381,-62.37965874672381,0.4847669798719095,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gpt-4o-mini,Algeria,ar,African-Islamic,True,Semitic,US,1.236710708453925,0.8816837481033408,-0.35502696035058423,-40.26692803562622,-40.26692803562622,0.33837705013742286,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
gpt-5.1,Algeria,ar,African-Islamic,True,Semitic,US,1.4489166235821767,1.2390525429391555,-0.2098640806430212,-16.937464180913814,-16.937464180913814,0.1564691117365074,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
grok-4.1-fast,Algeria,ar,African-Islamic,True,Semitic,US,3.086262861991494,2.212412500136927,-0.8738503618545668,-39.49762360321522,-39.49762360321522,0.3328773800258301,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
kimi-k2,Algeria,ar,African-Islamic,True,Semitic,China,0.8109664480645089,0.7876882861861613,-0.023278161878347636,-2.95525048252985,-2.95525048252985,0.02912424650121234,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
llama-3.2-3b-instruct,Algeria,ar,African-Islamic,True,Semitic,US,3.5397861123796623,5.284173344956664,1.7443872325770018,33.01154444984067,33.01154444984067,-0.40064988666487794,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
llama-3.3-70b-instruct,Algeria,ar,African-Islamic,True,Semitic,US,1.236710708453925,1.4489166235821767,0.2122059151282516,14.64583342301726,14.64583342301726,-0.15836092039983823,32.59,FR,French,4960.30334332888,0.763,1,False,False,True,False,False,False,False,False,
